Manufacturer,Registrations,Date,Category
VINTAGE VEHICLES,28,2024-01-01,FOUR WHEELER
VOLKSWAGEN AG,1,2024-01-01,FOUR WHEELER
VOLKSWAGEN INDIA PVT LTD,3,2024-01-01,FOUR WHEELER
VOLTAS LIMITED,1,2024-01-01,FOUR WHEELER
VOLVO AUTO INDIA PVT LTD,1847,2024-01-01,FOUR WHEELER
"""VOLVO GROUP INDIA PVT LTD""",1,2024-01-01,FOUR WHEELER
WILLYS INDIA LTD,1,2024-01-01,FOUR WHEELER
XYZ1,2,2024-01-01,FOUR WHEELER
A-1 SUREJA INDUSTRIES,8,2024-01-01,TWO WHEELER
ABZO MOTORS PVT LTD,68,2024-01-01,TWO WHEELER
ADISHWAR AUTO RIDE INDIA PVT LTD,246,2024-01-01,TWO WHEELER
ADRIS ELECTRIC PVT LTD,8,2024-01-01,TWO WHEELER
AFTEK MOTORS INDIA PVT LTD,39,2024-01-01,TWO WHEELER
ALTIUS EV TECH PVT LTD,19,2024-01-01,TWO WHEELER
AMO MOBILITY SOLUTIONS PVT LTD,122,2024-01-01,TWO WHEELER
AMPERE VEHICLES PRIVATE LIMITED,1089,2024-01-01,TWO WHEELER
ANCHI MOTORCYCLE (IMPORTER: ECOTRINITY AUTOMOBILE,34,2024-01-01,TWO WHEELER
ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),4,2024-01-01,TWO WHEELER
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),8,2024-01-01,TWO WHEELER
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),42,2024-01-01,TWO WHEELER
ANVITA AUTO TECH WORKS PVT LTD,5,2024-01-01,TWO WHEELER
ASHNNI MOTORS PVT LTD,5,2024-01-01,TWO WHEELER
ATHER ENERGY LTD,126359,2024-01-01,TWO WHEELER
ATUMOBILE PVT LTD,34,2024-01-01,TWO WHEELER
AYAAN ELECTRONIC PVT LTD,30,2024-01-01,TWO WHEELER
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),6,2024-01-01,TWO WHEELER
BAJAJ AUTO LTD,2185518,2024-01-01,TWO WHEELER
BATTRE ELECTRIC MOBLITY PVT LTD,3102,2024-01-01,TWO WHEELER
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,525,2024-01-01,TWO WHEELER
BGAUSS AUTO PRIVATE LIMITED,18033,2024-01-01,TWO WHEELER
BLIX CYCLES AND E-VEHICLES PVT LTD,6,2024-01-01,TWO WHEELER
BMW INDIA PVT LTD,6911,2024-01-01,TWO WHEELER
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,851,2024-01-01,TWO WHEELER
BOUNCE ELECTRIC 1 PVT LTD,6972,2024-01-01,TWO WHEELER
BRB MEXICO S.A DE C.V,1,2024-01-01,TWO WHEELER
BSA MOTORS,1,2024-01-01,TWO WHEELER
BU4 AUTO PVT LTD,1,2024-01-01,TWO WHEELER
CHANDANA CORPORATION,164,2024-01-01,TWO WHEELER
CHETAK TECHNOLOGY LIMITED,4,2024-01-01,TWO WHEELER
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),336,2024-01-01,TWO WHEELER
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),23,2024-01-01,TWO WHEELER
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1,2024-01-01,TWO WHEELER
CLASSIC (INDIA) MOTORS,1,2024-01-01,TWO WHEELER
CLASSIC LEGENDS PVT LTD,33006,2024-01-01,TWO WHEELER
DAO EVTECH PRIVATE LIMITED,80,2024-01-01,TWO WHEELER
DONGMA VEHICLE (IMPORTER: MERCURY METALS),8,2024-01-01,TWO WHEELER
DUCATI INDIA PVT LTD,368,2024-01-01,TWO WHEELER
DUCATI MOTOR HOLDING S.P.A,1,2024-01-01,TWO WHEELER
DURGA FILTERS PVT LTD,5,2024-01-01,TWO WHEELER
E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1,2024-01-01,TWO WHEELER
ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),59,2024-01-01,TWO WHEELER
ECO FUEL SYSTEMS (I) PVT LTD,192,2024-01-01,TWO WHEELER
EICHER MOTORS LTD,1,2024-01-01,TWO WHEELER
ELECTRECA VEHICLES,40,2024-01-01,TWO WHEELER
ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),5,2024-01-01,TWO WHEELER
ELEGO MOTORS PVT LTD,29,2024-01-01,TWO WHEELER
